ticker,n_signals,IC,RankIC,hit_rate,Sharpe_annual,MDD
AAPL,172,-0.14839938443019995,-0.12313247158762614,0.4941860465116279,-0.05825368579206088,-0.00650450384086318
MSFT,169,-0.25636254787600554,-0.3408234299637015,0.48520710059171596,0.0007430391869715084,-0.01179027549389996
GOOGL,261,-0.12105136717192126,-0.13662772254506922,0.4904214559386973,0.4941155596765929,-0.009763210086543368
META,407,0.09867171162337526,0.13394241031157866,0.6265356265356266,0.3369126968378681,-0.01907703136123729
NVDA,351,0.011197405128420709,0.01342990342990343,0.584045584045584,0.8404696286382366,-0.008429201068512216
AMD,316,0.14172512010797858,0.1103739663017705,0.5411392405063291,-0.5389250641552408,-0.017618315999363452
AMZN,250,-0.13238687188995749,-0.062253156050496805,0.504,-1.5913692173738654,-0.02113438364127215
INTC,365,-0.1604033795411873,-0.019743449902892975,0.4986301369863014,-1.4603909132578272,-0.02816475324276635
CSCO,168,0.1732796277347493,0.17455621301775148,0.5238095238095238,0.1171194153474101,-0.006620025304442916
ORCL,383,0.03707294942721996,0.1274843051549492,0.5352480417754569,1.2341680693779495,-0.009973678981429389
IBM,297,0.05205581298452528,0.01638230665076303,0.5723905723905723,1.1703909647346997,-0.0063805837296298535
ADBE,360,0.004425604062032105,0.023844319786418103,0.5333333333333333,0.330138479432395,-0.015443335874716059
CRM,236,0.09586540318916768,0.08962828723632495,0.6313559322033898,-0.1437828005167858,-0.011984928571149153
NFLX,398,-0.01876109690861999,-0.022987135065490518,0.6105527638190955,0.3347021775714357,-0.014364247318986362
QCOM,220,-0.2243146672677979,-0.23922169691710385,0.42727272727272725,-0.6060230651660987,-0.01767712112792014
TXN,251,0.007739358933789883,-0.01504534243976475,0.43824701195219123,-1.03776213840461,-0.021655480165364924
AVGO,420,0.2860464560612606,0.3109449114143018,0.5666666666666667,-0.7811496703043053,-0.017659579366900387
ACN,174,-0.1665628985783927,-0.17730003701699934,0.4827586206896552,1.0669460468709742,-0.007421060835092607
NOW,316,-0.010920483657521799,0.01905484471470975,0.5126582278481012,1.1484847252215922,-0.012559521385374257
SNOW,349,-0.3120464700841721,-0.3647911697037277,0.335243553008596,-1.1486975522854865,-0.02338164542487559
JPM,396,0.009548106743415427,-0.133469181500301,0.6111111111111112,0.675554192705135,-0.010190087627803036
GS,273,0.01380694818289652,-0.07162025394099245,0.5824175824175825,0.7404925016311346,-0.008883617927747821
BAC,175,0.05630325429183653,0.03720779220779221,0.5942857142857143,0.0940504215932471,-0.005832607680914517
C,339,-0.005447854217850184,-0.08143410267704505,0.6076696165191741,0.6860982878698041,-0.014068141159156881
WFC,183,-0.24678477654830364,-0.2903432988963994,0.4098360655737705,0.3562348937117482,-0.00468995888325543
MS,331,-0.13650827294323165,-0.15438265007296423,0.48036253776435045,0.5601055905325149,-0.01224847529112753
BLK,145,0.0015286776331504856,-0.021717052432687765,0.496551724137931,-1.0145324656363277,-0.007757432259769589
V,69,0.007620597462510678,-0.028681037632444284,0.5362318840579711,-2.9029952676145014,-0.010363201998986223
MA,77,0.30450166114592336,0.0006572374993427624,0.5974025974025974,-2.5652414882937835,-0.009858071244810583
PYPL,287,-0.13545843042333444,-0.27821365626243677,0.3554006968641115,-0.9862166124669249,-0.01813563750172023
AXP,337,-0.13809504067547013,-0.16921126693438948,0.5667655786350149,0.24115110098950943,-0.010453981314838542
COF,187,-0.05623928592049035,-0.17729640055935023,0.4117647058823529,-0.21716419828018263,-0.008586506927192112
USB,124,-0.4477013067431657,-0.46595121951219504,0.29838709677419356,-2.3796187574188656,-0.01093189195624037
PNC,105,-0.4276356578583886,-0.38193033381712627,0.3523809523809524,-3.399770078459501,-0.013864869538672471
SCHW,210,-0.11613634310720948,-0.07054193000813105,0.5,0.30116709637445116,-0.006125277049747839
PFE,273,-0.02277778463026543,0.020819080018307155,0.4945054945054945,-0.4338168210400904,-0.012148003380104674
JNJ,276,0.08929573875733725,0.09573208144860947,0.5652173913043478,0.3304909474580302,-0.015583543947660653
MRK,159,-0.041575373851297975,-0.08557738237401481,0.4591194968553459,0.49048123442038116,-0.00751568313689583
ABBV,165,0.13566848230064998,0.18908449763577595,0.6,2.4765418545895304,-0.004200264334761155
AMGN,305,-0.10448805924209045,-0.1895586966451809,0.45901639344262296,0.3362956028425703,-0.009982221776365643
GILD,202,-0.24520739578277873,-0.2813705457009932,0.40594059405940597,-0.7048477766946741,-0.009763393632814081
BIIB,293,-0.21023894162074183,-0.27363340492585836,0.5392491467576792,0.9221329377754461,-0.009915020106704794
REGN,250,0.19846131604016795,0.1624641674266788,0.572,0.458422069774386,-0.013678602414303485
VRTX,159,0.15484699459451268,0.2020420348698352,0.5157232704402516,0.7050020345535961,-0.011736870180532655
BMY,215,-0.13861087242498438,-0.12954188702938974,0.4046511627906977,-0.535492784898891,-0.008106800530836676
LLY,294,-0.21060893455191507,-0.2407667434417511,0.4557823129251701,-0.13596739890864368,-0.015333761858096187
UNH,336,0.0980830021665931,0.16247682739334274,0.6071428571428571,0.7030310125004542,-0.015675838957357073
CVS,182,0.15289019955993605,0.06983859361361398,0.5054945054945055,0.42889388589113253,-0.013477694338330626
CI,185,0.43610772094069533,0.38491527993631786,0.6810810810810811,2.2184822242542244,-0.005165893401300144
XOM,237,-0.033892221009524666,0.004076378459558034,0.45569620253164556,-0.11687041089399265,-0.007191899973966986
CVX,301,0.11173557781865706,0.153728630833205,0.521594684385382,0.2474273134524558,-0.007207096321986714
COP,144,-0.3689931387241874,-0.43195080781287676,0.2847222222222222,-1.814814866301107,-0.01684236320304766
EOG,246,-0.039868396241122435,-0.02747272899482692,0.5853658536585366,0.8246065849808255,-0.010104882244373418
SLB,266,0.005798696732137071,-0.05508821874486938,0.45864661654135336,-0.6127776440406646,-0.013300469088622795
PSX,209,-0.1583673336089476,-0.16940559440559438,0.4019138755980861,-2.643776529313076,-0.02235263043694006
VLO,171,-0.31261795249033686,-0.38011855905152764,0.3567251461988304,-1.1869684498925277,-0.014210879628113881
MPC,205,-0.3080894891365757,-0.3105653912050257,0.375609756097561,-0.3699732820867231,-0.015241416214659437
OXY,236,-0.10230062336610808,-0.001922699448114047,0.4788135593220339,-0.04481461238184607,-0.009815411362783294
HAL,315,0.1453871332579745,0.13621819605855726,0.5365079365079365,0.13443097250673347,-0.016453432557788233
KO,195,-0.1325935858174205,-0.1351324669439544,0.37948717948717947,-1.1545857765436311,-0.010807824739610006
PG,73,0.21064906237903203,0.11412439837097374,0.6164383561643836,-0.819184809096038,-0.00706805802077321
COST,330,-0.16405227376279727,-0.17222847859860135,0.5545454545454546,-0.14512632978093382,-0.015364962995867594
WMT,351,-0.39987624339316574,-0.4109709734709735,0.5897435897435898,1.0556391945525778,-0.0133238198086701
TGT,234,0.24545820777576535,0.20685571391443006,0.5256410256410257,2.381702152321492,-0.0039909505767232265
HD,82,0.052484031205020015,-0.043175411673795454,0.5,0.5207854820782347,-0.004768729416979288
LOW,112,0.20815361245819833,0.15742986981925033,0.4642857142857143,1.094010019740795,-0.003924874831428305
NKE,276,-0.13289847669304364,-0.1393644497081948,0.4384057971014493,0.4125496286809271,-0.008344183220965236
SBUX,262,0.16788933691226604,0.3154912689651169,0.6106870229007634,0.17720552196057376,-0.012350260277956552
MCD,134,-0.0526758225415827,0.0013341812242047906,0.39552238805970147,-1.6436928596771962,-0.014657325160186816
DIS,375,-0.06567149654305882,-0.01802912731823871,0.5333333333333333,1.002860729741897,-0.005828327606599525
PEP,94,-0.08603368389860244,-0.09095112523931655,0.46808510638297873,0.5256854302189656,-0.008232424776594614
PM,195,-0.09777420684944059,-0.13637864344786288,0.47692307692307695,-1.1050597381752063,-0.010655043590371048
MO,174,-0.3589988874059977,-0.4025592983854893,0.3620689655172414,-1.3624863248530195,-0.009997204453132688
CL,103,-0.18367999060776488,-0.238599920924307,0.44660194174757284,-0.2899803593746572,-0.005184894989128058
BA,324,-0.03993201360118069,-0.1331784463673009,0.4845679012345679,-0.8491552952294432,-0.014970168074829687
CAT,272,-0.09599632965628768,-0.06263760116592762,0.6213235294117647,1.1746925592963533,-0.012314039520803073
GE,378,0.192782587270602,0.21316219542040665,0.6031746031746031,1.2843068828012585,-0.010431148808372164
HON,140,0.13648473826196694,0.06997004220331943,0.5142857142857142,-1.2086670310270309,-0.007087203477444533
MMM,338,0.08385421801250471,0.0232660403571397,0.5266272189349113,0.04553368185374818,-0.00696847824502014
LMT,250,-0.06342357355295546,-0.0029933278932462917,0.496,0.46519213873942655,-0.012072521589032499
RTX,204,0.24372846458822076,0.1887936335173262,0.6127450980392157,0.2904083947436617,-0.009488610178254238
UPS,186,-0.04804104171999724,-0.12760467902782893,0.45161290322580644,-1.707073619545058,-0.016716968556187373
FDX,229,-0.019115961108508363,-0.023679713808919492,0.5021834061135371,0.7666029328910626,-0.010535665033169543
DE,262,-0.018512711579468138,-0.0495404200491691,0.4732824427480916,-0.4840347601816947,-0.012884548102973804
T,249,-0.22505498637133448,-0.2487166731441897,0.40963855421686746,-0.8446646519055842,-0.014976158229934868
VZ,199,-0.27672094342558484,-0.17695446931627837,0.4271356783919598,0.8515831613079677,-0.007649992651495318
TMUS,266,-0.02551142141553736,0.013614808698659941,0.518796992481203,-0.13717630875043982,-0.010979035332110088
CHTR,272,-0.1161120736219848,-0.09008746842478119,0.5110294117647058,0.9892607744099946,-0.005944474018132162
CMCSA,107,0.16451519012686758,0.1707909637728012,0.616822429906542,2.5877471879277385,-0.0037795649860768417
NEE,187,0.016977813745568258,-0.02668658403649724,0.45989304812834225,-0.17794767514894816,-0.006230881055510587
DUK,43,-0.2695199567313945,-0.24025974025974026,0.4883720930232558,-2.026758505135825,-0.005691702673680036
SO,82,-0.2030262712007307,-0.08361902896137395,0.4268292682926829,-1.453384405330236,-0.006937283566613905
D,94,-0.21005101481454347,-0.2678683668677528,0.35106382978723405,-1.4459451620909562,-0.008110379773482465
EXC,103,-0.314246909837185,-0.28057593463076047,0.39805825242718446,-0.7226661796028799,-0.007689847317919852
AMT,146,-0.20149657117202713,-0.25984209460827323,0.4383561643835616,-0.042404297100811415,-0.0054564706655949495
PLD,219,0.31932958151251767,0.3340717721388829,0.6757990867579908,1.5799023391217497,-0.007960440340437748
CCI,284,0.23413210439795532,0.14311975629114093,0.49295774647887325,1.014415533726913,-0.007248557686652636
EQIX,116,-0.22273704633092486,-0.2898320070733864,0.45689655172413796,0.6214613534399899,-0.007947362992345781
SPG,227,-0.15857101928242548,-0.18014276656906783,0.6035242290748899,0.30932949377800945,-0.009593841933965924
LIN,145,0.1721709910883313,0.1259014328452212,0.6344827586206897,2.8182776774866163,-0.0028308480946829437
