,portfolio_return
2024-01-03,-0.007749103677221299
2024-01-04,0.004279819917545708
2024-01-05,-3.56396170687614e-05
2024-01-08,0.004035967414735679
2024-01-09,0.006204433697371893
2024-01-10,0.002852984415425644
2024-01-11,0.004151205482243054
2024-01-12,0.00133187073278255
2024-01-16,0.012457094052483731
2024-01-17,0.0062841988838525575
2024-01-18,0.002251285448335876
2024-01-19,-0.0021411984981779177
2024-01-22,-0.0055042970919624064
2024-01-23,-0.0016269923264953736
2024-01-24,0.003988996305877971
2024-01-25,-0.0013474891848511126
2024-01-26,-0.004389529232685372
2024-01-29,0.0031124814833498114
2024-01-30,0.00710715613267386
2024-01-31,-0.007692815277042294
2024-02-01,0.0061514406332154655
2024-02-02,0.020473650517970343
2024-02-05,0.016067980181752504
2024-02-06,-0.013722500713734776
2024-02-07,0.011209572767491275
2024-02-08,-0.0010357059091067094
2024-02-09,-0.001571696217744603
2024-02-12,-0.007231954812365919
2024-02-13,0.01057292219256527
2024-02-14,0.006562655488329417
2024-02-15,-0.007746366176007835
2024-02-16,0.00046412361639760363
2024-02-20,-0.005588021667450175
2024-02-21,-0.008053811683203677
2024-02-22,0.017543203454533318
2024-02-23,-0.003022501541221805
2024-02-26,0.01213013883397406
2024-02-27,-0.0007139934854758249
2024-02-28,-0.005045519523382696
2024-02-29,-0.0027637347605920085
2024-03-01,0.0035018549967107938
2024-03-04,0.005639634541899132
2024-03-05,0.00432011025403476
2024-03-06,0.001832387102566366
2024-03-07,0.004462494689502418
2024-03-08,-0.013240480063417676
2024-03-11,-0.017459674788280175
2024-03-12,0.01028726750197375
2024-03-13,-0.0015718388059458484
2024-03-14,-0.005018102957645762
2024-03-15,-0.0038644434890058987
2024-03-18,0.004019236118388957
2024-03-19,0.0018479968724597479
2024-03-20,0.0026390352699515165
2024-03-21,0.003905426514794961
2024-03-22,0.005930592347426497
2024-03-25,-0.0049912412301588846
2024-03-26,0.0029979628086452843
2024-03-27,-0.007012655804676665
2024-03-28,-0.0006370543101619018
2024-04-01,0.004946666453059078
2024-04-02,0.011133277022371088
2024-04-03,0.010466021918957062
2024-04-04,0.00379575792654477
2024-04-05,0.013488023012558813
2024-04-08,-0.0034282883379823264
2024-04-09,-0.00936314004702029
2024-04-10,0.013927722116767466
2024-04-11,-0.00017144149303326736
2024-04-12,-0.0022468206742236293
2024-04-15,-0.007690767773851548
2024-04-16,0.0026875590482904033
2024-04-17,-0.0004358185643785264
2024-04-18,-0.004806376585327654
2024-04-19,-0.00483620813919581
2024-04-22,0.004064609224894226
2024-04-23,0.00397088776040781
2024-04-24,-0.0035064435564099096
2024-04-25,0.004624808472582378
2024-04-26,0.004483320113576012
2024-04-29,-0.003680781224782301
2024-04-30,-0.0028035175355633013
2024-05-01,-0.008676791540377884
2024-05-02,0.0024155157004708714
2024-05-03,-0.003290063554108312
2024-05-06,0.004373776163485921
2024-05-07,0.000957947014544216
2024-05-08,0.0017640732159265573
2024-05-09,-0.0022925161375071095
2024-05-10,-0.0016155442522756546
2024-05-13,-0.006013939810652299
2024-05-14,0.004307181569110308
2024-05-15,0.004402003206564857
2024-05-16,-0.009195813657040627
2024-05-17,0.0033495963786365733
2024-05-20,-5.330447921996387e-05
2024-05-21,0.004716419889868523
2024-05-22,-0.0035675020420848714
2024-05-23,0.008623871692412716
2024-05-24,0.006398058402634742
2024-05-28,0.00296390614460098
2024-05-29,7.665559278698096e-06
2024-05-30,-0.012146034171300156
2024-05-31,-0.010190576637280532
2024-06-03,0.0031638179804407574
2024-06-04,-0.0013373493791536497
2024-06-05,0.007622768941764413
2024-06-06,-0.0017020050071256062
2024-06-07,-0.0020358411587062175
2024-06-10,-0.0030712316204256694
2024-06-11,-0.0016151497814580846
2024-06-12,0.00419473231853322
2024-06-13,0.002821788681347301
2024-06-14,-0.004780323434058281
2024-06-17,-0.0011565358864515666
2024-06-18,0.003154128557140618
2024-06-20,-0.013490970305699823
2024-06-21,-0.0069953769831621205
2024-06-24,-0.004929330846706619
2024-06-25,0.009657939334401974
2024-06-26,-0.0005760590193292977
2024-06-27,-0.0022528161482967064
2024-06-28,-0.0022882136092147783
2024-07-01,0.007471628443336478
2024-07-02,0.00457517421616011
2024-07-03,-0.0030637184591553925
2024-07-05,0.008331059373234365
2024-07-08,0.0008852787638902136
2024-07-09,0.0023218529707180412
2024-07-10,0.0015918691545658808
2024-07-11,-0.019796751596146352
2024-07-12,-0.005706323830903731
2024-07-15,0.0016862908862800145
2024-07-16,-0.005974792611399753
2024-07-17,-0.017227209809219397
2024-07-18,-0.002240168842106155
2024-07-19,-0.0011181812493899438
2024-07-22,0.007027823936667066
2024-07-23,0.007657576199116244
2024-07-24,-0.006990718652848138
2024-07-25,-0.0004230327880415458
2024-07-26,-0.005094689604300352
2024-07-29,-0.0004698662982075701
2024-07-30,0.0016060118421071135
2024-07-31,-0.015168176259626989
2024-08-01,0.019602798074765854
2024-08-02,0.006706894361315721
2024-08-05,0.00034821027267606505
2024-08-06,0.0010397247258898006
2024-08-07,0.0075647080153094255
2024-08-08,-0.008093539324080032
2024-08-09,0.005101955332209569
2024-08-12,-0.0003851910311753458
2024-08-13,-0.010261464089865066
2024-08-14,0.003892361955679925
2024-08-15,-0.009792453545813477
2024-08-16,0.0005860202379710693
2024-08-19,-0.0019064518937851767
2024-08-20,0.004458517931617427
2024-08-21,0.00019132244023324928
2024-08-22,0.0005745429415636007
2024-08-23,-0.005613083141398019
2024-08-26,-0.0029235531834540932
2024-08-27,0.006016701929351342
2024-08-28,-0.0019831300090626517
2024-08-29,-0.0005486993976454629
2024-08-30,0.002514715991375532
2024-09-03,-0.0011771332660708647
2024-09-04,0.004974482423729066
2024-09-05,-0.004273797775019749
2024-09-06,-0.0008936502694113359
2024-09-09,0.006731044269226342
2024-09-10,0.001811612445074807
2024-09-11,0.002067755993995155
2024-09-12,-0.002650152235412235
2024-09-13,0.0014110204761151495
2024-09-16,-0.0021405539877633736
2024-09-17,-0.011220389798257943
2024-09-18,-0.0033035370689714523
2024-09-19,-0.0006552269052228437
2024-09-20,0.008559365153997365
2024-09-23,0.0010555853831267239
2024-09-24,0.002730906835801479
2024-09-25,0.004231073110950564
2024-09-26,-0.0003207496933959045
2024-09-27,-0.00999441438527303
2024-09-30,-0.001973086417044543
2024-10-01,-0.0032606236335278815
2024-10-02,0.0021554960210148503
2024-10-03,-0.0006061968977710232
2024-10-04,-0.00027114932124961457
2024-10-07,-1.1232400547975894e-05
2024-10-08,0.0054085284441288866
2024-10-09,0.0022248940555907293
2024-10-10,-0.00416066546133405
2024-10-11,0.00045821745211509023
2024-10-14,0.0008073564921516607
2024-10-15,-0.005440300488558578
2024-10-16,0.0023183086222348256
2024-10-17,0.004174695301793313
2024-10-18,0.004362512770612889
2024-10-21,0.0021411579619104726
2024-10-22,-0.0028510870546671007
2024-10-23,-0.001216195168808449
2024-10-24,0.000426702074335815
2024-10-25,-0.0036794066403290976
2024-10-28,0.00596936842372271
2024-10-29,0.007158494351224316
2024-10-30,-0.0027020181192825283
2024-10-31,0.002478514347949661
2024-11-01,0.00010249476630909425
2024-11-04,-0.003830370501572721
2024-11-05,0.0014775714724408586
2024-11-06,0.018785238508121804
2024-11-07,-0.0029523879748844404
2024-11-08,0.0002749663370862416
2024-11-11,0.010103342193605919
2024-11-12,0.006358745334091061
2024-11-13,-0.004569599320200987
2024-11-14,0.0014316044835665542
2024-11-15,0.00045533673525322
2024-11-18,-0.004584365657011137
2024-11-19,0.00026833397131051416
2024-11-20,-0.0035871373187862407
2024-11-21,0.0023914778513181847
2024-11-22,-0.004144015034175806
2024-11-25,-0.005604397950664877
2024-11-26,0.006381128817281714
2024-11-27,-0.005520377149857889
2024-11-29,-0.0017443594299505435
2024-12-02,-0.005701643741104093
2024-12-03,0.0058174628894431535
2024-12-04,0.005818099384541841
2024-12-05,0.00592642828521833
2024-12-06,0.01061183067148661
2024-12-09,-0.019883415787834438
2024-12-10,0.004774502991657096
2024-12-11,0.0041762729237251614
2024-12-12,0.002797693347072715
2024-12-13,0.00380162306080123
2024-12-16,0.007316311648551992
2024-12-17,-0.0007324696980697713
2024-12-18,-0.008779996252438233
2024-12-19,0.012779849650312217
2024-12-20,0.00022254538109351798
2024-12-23,-0.004771041807046136
2024-12-24,0.0034857165742782094
2024-12-26,-0.001545890763182808
2024-12-27,-0.00449066140213989
2024-12-30,-0.001388299970213368
2024-12-31,-0.00680142053571186
2025-01-02,0.0010138938174598113
2025-01-03,-0.0034283634910804504
2025-01-06,0.0029357347309697775
2025-01-07,-0.004506243280042462
2025-01-08,-0.0015348708998921877
2025-01-10,0.0005092011890038526
2025-01-13,-0.009880410460104547
2025-01-14,0.004018600611160478
2025-01-15,0.0076822567737198505
2025-01-16,-0.0054747771512610195
2025-01-17,0.003912309662283918
2025-01-21,0.00314770720798222
2025-01-22,0.007868731945874575
2025-01-23,0.001299501999803251
2025-01-24,-0.0013040704606703077
2025-01-27,-0.010470055904566256
2025-01-28,0.010947301296323382
2025-01-29,0.001546277791195985
2025-01-30,0.002707275004577423
2025-01-31,0.010527687603988107
2025-02-03,0.0017157626832519054
2025-02-04,-0.010962124495926292
2025-02-05,0.010796171171824768
2025-02-06,0.006762292222169737
2025-02-07,0.003249305282585879
2025-02-10,-0.009761949388732028
2025-02-11,-0.003305124520286687
2025-02-12,-0.004755852484026963
2025-02-13,-0.003453013085129571
2025-02-14,0.004827849163252579
2025-02-18,-0.00804293794100774
2025-02-19,-0.0076033826472125055
2025-02-20,-0.020908679166445378
2025-02-21,0.0031597407978773795
2025-02-24,-0.004808205555118673
2025-02-25,0.0004910775542591362
2025-02-26,0.0004528273873626259
2025-02-27,-0.0007705563885028306
2025-02-28,0.004293789227777864
2025-03-03,0.013603528884516275
2025-03-04,-0.007755245229179892
2025-03-05,-0.00796305654664011
2025-03-06,-0.01194833537719533
2025-03-07,-0.005319715998663256
2025-03-10,0.008407972284894066
2025-03-11,-0.009616298497069443
2025-03-12,-0.011132225983056285
2025-03-13,0.0100781045313642
2025-03-14,0.00040280556676726594
2025-03-17,-0.005045897800023729
2025-03-18,0.0031424893997414128
2025-03-19,-0.0030593594269530244
2025-03-20,0.00176719974419961
