Sector,Ticker,Model,Mean IC,Mean RankIC,Hit Rate,Sharpe Ratio,Max Drawdown
Technology,AAPL,Dual Fusion,-0.2091617612593058,-0.0978647103621798,0.4246575342465753,-2.579121845985479,-0.0194607274419765
Technology,AAPL,Price-Only,-0.1483993844301999,-0.1231324715876261,0.4941860465116279,-0.0582536857920608,-0.0065045038408631
Technology,ACN,Dual Fusion,-0.0610966443244599,-0.0341079413166799,0.5863309352517986,1.287813468661234,-0.0087472477966875
Technology,ACN,Price-Only,-0.1665628985783927,-0.1773000370169993,0.4827586206896552,1.0669460468709742,-0.0074210608350926
Technology,ADBE,Dual Fusion,-0.2817820856416122,-0.2487787724087841,0.576271186440678,-0.0101726478343143,-0.0185163966159975
Technology,ADBE,Price-Only,0.0044256040620321,0.0238443197864181,0.5333333333333333,0.330138479432395,-0.015443335874716
Technology,AMD,Dual Fusion,-0.0570518974935449,-0.1067713606247951,0.4803149606299212,-1.3214148125270768,-0.0161122984406692
Technology,AMD,Price-Only,0.1417251201079785,0.1103739663017705,0.5411392405063291,-0.5389250641552408,-0.0176183159993634
Technology,AMZN,Dual Fusion,-0.1522986455717714,-0.1976470256316212,0.4593495934959349,-1.405304240187316,-0.0206427891542856
Technology,AMZN,Price-Only,-0.1323868718899574,-0.0622531560504968,0.504,-1.5913692173738654,-0.0211343836412721
Technology,AVGO,Dual Fusion,-0.07022171800465,0.0534655285214212,0.5965346534653465,0.1956713194348757,-0.0116649961892414
Technology,AVGO,Price-Only,0.2860464560612606,0.3109449114143018,0.5666666666666667,-0.7811496703043053,-0.0176595793669003
Technology,CRM,Dual Fusion,0.0370343161995202,0.0275085633237109,0.5454545454545454,0.3416500822425024,-0.0077760954309405
Technology,CRM,Price-Only,0.0958654031891676,0.0896282872363249,0.6313559322033898,-0.1437828005167858,-0.0119849285711491
Technology,CSCO,Dual Fusion,-0.019300442386517,-0.0523906840077978,0.5329949238578681,-0.4337064540779228,-0.0116933618818433
Technology,CSCO,Price-Only,0.1732796277347493,0.1745562130177514,0.5238095238095238,0.1171194153474101,-0.0066200253044429
Technology,GOOGL,Dual Fusion,0.1288369519139178,0.1217288460116936,0.5569620253164557,1.4237805992544643,-0.0096410791354598
Technology,GOOGL,Price-Only,-0.1210513671719212,-0.1366277225450692,0.4904214559386973,0.4941155596765929,-0.0097632100865433
Technology,IBM,Dual Fusion,-0.021472083640063,0.031707310112584,0.5942028985507246,1.0239848810042302,-0.008060224489457
Technology,IBM,Price-Only,0.0520558129845252,0.016382306650763,0.5723905723905723,1.1703909647346995,-0.0063805837296298
Technology,INTC,Dual Fusion,-0.0778413849174399,-0.2717626893181074,0.4169184290030212,-0.5752523687376027,-0.0226465418757367
Technology,INTC,Price-Only,-0.1604033795411873,-0.0197434499028929,0.4986301369863014,-1.4603909132578272,-0.0281647532427663
Technology,META,Dual Fusion,0.0302138824485621,0.0853387054751181,0.5935162094763092,0.7435726540989982,-0.012561339845291
Technology,META,Price-Only,0.0986717116233752,0.1339424103115786,0.6265356265356266,0.3369126968378681,-0.0190770313612372
Technology,MSFT,Dual Fusion,-0.0260985872453618,0.170365840728476,0.6,-0.0785491333536445,-0.008444386990461
Technology,MSFT,Price-Only,-0.2563625478760055,-0.3408234299637015,0.4852071005917159,0.0007430391869715,-0.0117902754938999
Technology,NFLX,Dual Fusion,0.0470690242370626,0.0432540167861045,0.6509635974304069,0.4982073379322317,-0.0161711349629208
Technology,NFLX,Price-Only,-0.0187610969086199,-0.0229871350654905,0.6105527638190955,0.3347021775714357,-0.0143642473189863
Technology,NOW,Dual Fusion,0.1989448824449702,0.2460381475860627,0.606508875739645,1.36032447340005,-0.0061847723925866
Technology,NOW,Price-Only,-0.0109204836575217,0.0190548447147097,0.5126582278481012,1.1484847252215922,-0.0125595213853742
Technology,NVDA,Dual Fusion,-0.1399506596258435,-0.0313162477903813,0.5509641873278237,0.7363109659040112,-0.0083034245810229
Technology,NVDA,Price-Only,0.0111974051284207,0.0134299034299034,0.584045584045584,0.8404696286382366,-0.0084292010685122
Technology,ORCL,Dual Fusion,-0.099485542570662,-0.0507931322426461,0.4852941176470588,0.7014908802711247,-0.0078713676634363
Technology,ORCL,Price-Only,0.0370729494272199,0.1274843051549492,0.5352480417754569,1.2341680693779495,-0.0099736789814293
Technology,QCOM,Dual Fusion,-0.0092172336572539,0.0317073740718978,0.5544041450777202,-0.2558888075442749,-0.0166166590453027
Technology,QCOM,Price-Only,-0.2243146672677979,-0.2392216969171038,0.4272727272727272,-0.6060230651660987,-0.0176771211279201
