ticker,n_signals,IC,RankIC,hit_rate,Sharpe_annual,MDD
AAPL,151,-0.2150779780489645,-0.10487277797141858,0.4304635761589404,-1.6247179476379108,-0.016861824929629923
MSFT,228,0.010705478471841326,0.2017835790445662,0.6271929824561403,0.0074807171137072056,-0.008049837916337533
GOOGL,235,0.09387051196246167,0.0800872885979269,0.5659574468085107,1.579630944957983,-0.006532216107760029
META,400,0.034465522233782936,0.12279357995987474,0.5825,0.5818451170518429,-0.01186310653665507
NVDA,364,-0.12463578680351116,-0.014210695904344721,0.5494505494505495,0.43848624043172996,-0.010405571430572694
AMD,261,-0.11136049015471447,-0.15694953462787106,0.47509578544061304,-1.1621234381022894,-0.01637526348279858
AMZN,259,-0.13538646036286428,-0.21868339077641402,0.4864864864864865,-1.6382587073257104,-0.020668922778829132
INTC,349,-0.09256521188091421,-0.25454825186669866,0.41260744985673353,-0.9195049469757465,-0.029037304201728807
CSCO,196,-0.021198492051248206,-0.04123229924535219,0.5306122448979592,-0.1587813968155083,-0.009176393281371719
ORCL,335,-0.10316801326920319,-0.049215428418216876,0.48955223880597015,0.42468756753956766,-0.008116480012629084
IBM,265,0.016492864099060745,0.09594849043707038,0.5773584905660377,0.7235987195323054,-0.008348196294474418
ADBE,342,-0.3070706828504762,-0.25720639500480813,0.5584795321637427,0.0031684643248704133,-0.016933156028004322
CRM,299,0.051905369301712884,0.04517429462862786,0.5618729096989966,0.2894060953212064,-0.010238408079867298
NFLX,461,0.04848600973336421,0.04810241159387628,0.6507592190889371,0.7101586812461121,-0.01544243726135436
QCOM,191,0.010724802674602407,0.04208976302011573,0.5602094240837696,-0.39784659790174626,-0.017246403169016322
TXN,211,-0.3092245653268898,-0.24555128319771083,0.41232227488151657,-0.3118542753572933,-0.009821516466366854
AVGO,369,-0.08416532580041487,0.0345487852645859,0.6151761517615176,0.04717713333114364,-0.011587071125195128
ACN,287,-0.04671526969742006,-0.012325073300683057,0.5958188153310104,1.077520017102467,-0.007623032332787931
NOW,343,0.21637791901094278,0.2645570380626459,0.60932944606414,1.459232746548921,-0.005396316823051471
SNOW,337,-0.26535565116762716,-0.2867185599153186,0.4094955489614243,-0.895918850383999,-0.021040157967710308
JPM,419,-0.2291949846272497,-0.27743349478056173,0.6348448687350835,1.0112873136985092,-0.006093830906371168
GS,355,-0.0503989762080735,-0.07057247311712592,0.6338028169014085,1.253517021817195,-0.009152427333191692
BAC,183,-0.12462747892761142,-0.026162540239518146,0.5683060109289617,-0.14896773811040034,-0.008857755494045055
C,349,-0.01903574065754224,-0.04281620957838723,0.6275071633237822,1.023164129964131,-0.010130856778848793
WFC,214,-0.2966708458318749,-0.31661763670481924,0.48130841121495327,-0.4550821745738791,-0.007821836614820318
MS,231,-0.09602246678973539,-0.08256391284877043,0.5627705627705628,1.1357918643034368,-0.007458713762692988
