,portfolio_return
2024-01-03,-0.01051938985059851
2024-01-04,0.002699243669938247
2024-01-05,0.0033847359149183362
2024-01-08,0.005019444345257954
2024-01-09,-0.00020877779037444425
2024-01-10,0.0038186019535664134
2024-01-11,0.0044806592655832036
2024-01-12,0.0036058820724456306
2024-01-16,0.00590384465712397
2024-01-17,0.0016404923252370835
2024-01-18,0.0038029510038932158
2024-01-19,-0.0012668019977906044
2024-01-22,-0.005265923464569608
2024-01-23,0.001652117410322584
2024-01-24,0.004916700426425307
2024-01-25,-0.0030679475079445863
2024-01-26,-0.0029676560601447056
2024-01-29,0.0014812749323746693
2024-01-30,0.00398600681700709
2024-01-31,-0.0062156339192824496
2024-02-01,0.003668555693170093
2024-02-02,0.012461409422489024
2024-02-05,0.010599802030386539
2024-02-06,-0.010881331935746313
2024-02-07,0.009345699144833077
2024-02-08,0.001159397515786596
2024-02-09,0.0029648438706440794
2024-02-12,-0.0022208440166466468
2024-02-13,0.008237815722457256
2024-02-14,0.006983201589473561
2024-02-15,-0.009531262839416892
2024-02-16,-0.003566649733409132
2024-02-20,-0.003726718732982909
2024-02-21,-0.004299078752266431
2024-02-22,0.013010565299183798
2024-02-23,-2.1726827728447317e-06
2024-02-26,0.008060326877720871
2024-02-27,-0.0011326279879515938
2024-02-28,-0.005878312517863946
2024-02-29,0.0023740096585517486
2024-03-01,-0.0014987482864796484
2024-03-04,0.0023910586585160223
2024-03-05,0.006528464254257009
2024-03-06,0.0014103206947550105
2024-03-07,0.005050299994227221
2024-03-08,-0.007234199017272068
2024-03-11,-0.008259712115935045
2024-03-12,0.010214024092978365
2024-03-13,-0.00031173107858249114
2024-03-14,-0.001589684909470665
2024-03-15,-0.0027999948991339644
2024-03-18,0.0018458009955577884
2024-03-19,0.005107392688406379
2024-03-20,0.0009855332170593811
2024-03-21,0.00043050488369315745
2024-03-22,0.007163796062851455
2024-03-25,4.849667521816357e-05
2024-03-26,-0.003815032290824041
2024-03-27,-0.004235537215456205
2024-03-28,6.211196240231067e-05
2024-04-01,0.0042968758909765975
2024-04-02,0.008759760536186618
2024-04-03,0.007686103251457186
2024-04-04,0.0042061518496175005
2024-04-05,0.00872315558261892
2024-04-08,-0.0026568202195584307
2024-04-09,-0.008383032421219593
2024-04-10,0.009531507354301453
2024-04-11,0.001398140857633269
2024-04-12,-0.0007381429520639204
2024-04-15,-0.003522612375942993
2024-04-16,0.002491291444429222
2024-04-17,0.0023408469487078967
2024-04-18,-0.0025066514178925512
2024-04-19,-0.010310853755793917
2024-04-22,0.004883464805907347
2024-04-23,0.006019816108825238
2024-04-24,-0.0038316976592795704
2024-04-25,-0.002337102712833422
2024-04-26,0.007081811500074758
2024-04-29,-0.004598893090534285
2024-04-30,-0.013110789749699578
2024-05-01,-0.00625184381115824
2024-05-02,0.002680899991551046
2024-05-03,-0.0022106177858459922
2024-05-06,0.0027762210087645504
2024-05-07,0.0007817543459511341
2024-05-08,-0.0004426391283758446
2024-05-09,-0.0013958888434435948
2024-05-10,0.0018873295692009703
2024-05-13,-0.004994862810485936
2024-05-14,-0.0011252521849616805
2024-05-15,-0.00035985470897884216
2024-05-16,0.0008157268444891204
2024-05-17,-0.0016597324355207472
2024-05-20,0.003095424126339692
2024-05-21,0.0012795510633119127
2024-05-22,-0.0023143112499514713
2024-05-23,0.0042394349761423426
2024-05-24,0.00823514407574835
2024-05-28,0.001336298741015294
2024-05-29,0.004051228958149629
2024-05-30,-0.003617559490511332
2024-05-31,-0.0047202579811444255
2024-06-03,0.005888998643363811
2024-06-04,-0.00162504487755085
2024-06-05,0.009690840365060783
2024-06-06,0.001039221795645779
2024-06-07,-0.0009574840951864076
2024-06-10,0.0005897336086131361
2024-06-11,0.00311857498444462
2024-06-12,-0.001298954820598259
2024-06-13,0.005629090031424354
2024-06-14,-0.0004443830362943434
2024-06-17,-0.0007644657343777989
2024-06-18,-0.002381952012586626
2024-06-20,-0.00766492577335892
2024-06-21,-0.0029033810611074325
2024-06-24,-0.010308652224496546
2024-06-25,0.007230934590076729
2024-06-26,0.004436801671817838
2024-06-27,0.0012882735611339836
2024-06-28,-0.008101711225148833
2024-07-01,0.0037342967932121633
2024-07-02,0.005033433822699197
2024-07-03,0.0019918016524265534
2024-07-05,0.011001016100921183
2024-07-08,-0.00308216518168773
2024-07-09,-0.0008156638378126214
2024-07-10,-0.00020472084164094257
2024-07-11,-0.011750652545059349
2024-07-12,-0.005281746249178908
2024-07-15,0.0002102190271095881
2024-07-16,-0.012141492620739696
2024-07-17,-0.011980637842524792
2024-07-18,-0.005258803945673977
2024-07-19,-0.005461423440079522
2024-07-22,0.010875587700868978
2024-07-23,0.0038965104586305256
2024-07-24,-0.01859290001260108
2024-07-25,-0.0036792431506291134
2024-07-26,0.006118970200747747
2024-07-29,0.003628191526335912
2024-07-30,-0.0038240743609834872
2024-07-31,0.0006065425601081914
2024-08-01,0.005592887866671963
2024-08-02,-0.010996599773189421
2024-08-05,0.0037211047976163066
2024-08-06,0.006789511020132335
2024-08-07,0.0038378425911100252
2024-08-08,0.0004325227974558527
2024-08-09,0.004983896148295078
2024-08-12,-0.002224635400277741
2024-08-13,-0.0067256730806404515
2024-08-14,0.005630471721446568
2024-08-15,0.005552099161947073
2024-08-16,-0.0005616494048750047
2024-08-19,-0.0014997603738004953
2024-08-20,0.0016793144855050599
2024-08-21,-0.0019186146916721114
2024-08-22,-0.0021236531435322183
2024-08-23,-0.0038314628450622735
2024-08-26,0.0004383125385627526
2024-08-27,0.001304686129634457
2024-08-28,-0.0055004254518117674
2024-08-29,-0.001573530379819113
2024-08-30,0.006304684141928054
2024-09-03,-0.0006497850849775097
2024-09-04,-0.0004827918601691008
2024-09-05,-0.0020005366714439146
2024-09-06,-0.0047235188182652415
2024-09-09,0.004225602472505123
2024-09-10,-0.0035646917113420764
2024-09-11,0.006797561519817722
2024-09-12,-0.00026608990246060235
2024-09-13,0.0013977739196756617
2024-09-16,-0.003060848583023015
2024-09-17,0.0002385889663775756
2024-09-18,-5.623319963506975e-05
2024-09-19,-0.0008523203253552021
2024-09-20,0.007427197590820872
2024-09-23,0.002062918236542196
2024-09-24,-0.0005378923331667988
2024-09-25,0.008144987759297286
2024-09-26,-0.006119124381810201
2024-09-27,-0.0035370119454897985
2024-09-30,0.0011816533114490807
