ticker,n_signals,IC,RankIC,hit_rate,Sharpe_annual,MDD
AAPL,155,-0.23345624288378994,-0.09869807611743096,0.41935483870967744,-2.0378909388062807,-0.019689340930837868
MSFT,217,-0.04447560542671146,0.14162521080248217,0.5898617511520737,0.14237459418506002,-0.008298743003916339
GOOGL,234,0.1200709107443901,0.13169292583044756,0.5555555555555556,1.492971978009725,-0.01002725659456786
META,389,0.03230407642055812,0.07972250366441128,0.6015424164524421,0.714786333700769,-0.010944987201884058
NVDA,377,-0.13225345243199854,-0.032127202706806524,0.5570291777188329,0.9364486854068944,-0.008195992387336233
AMD,257,-0.07123268259004162,-0.12581652678490632,0.46303501945525294,-1.6385117626156567,-0.021131343620620878
AMZN,248,-0.09269926403519654,-0.1413235546338416,0.4959677419354839,-1.068159021032193,-0.017145697703036367
INTC,312,-0.07027421241054488,-0.2783085030807004,0.40384615384615385,-0.4874724612581244,-0.020221049096829778
CSCO,197,-0.01432450470389105,-0.05229179812210995,0.5532994923857868,0.6501490842719998,-0.007570725662612869
ORCL,334,-0.10467559672106753,-0.05143774572677961,0.48502994011976047,0.16622749795654757,-0.011413193802884674
IBM,282,-0.04036086532032334,-0.014103507054429056,0.6099290780141844,1.6125896506686737,-0.008280920043493787
ADBE,359,-0.28731318075561796,-0.2623828345860371,0.5738161559888579,-0.2974490170310956,-0.018117713576756612
CRM,290,0.05872709089857878,0.04665117589245188,0.5620689655172414,-0.024855271494436948,-0.011504824917454779
NFLX,469,0.03268003072351994,0.0450431964563435,0.6439232409381663,0.2749869172416851,-0.01551301013520923
QCOM,189,-0.01074612423784459,0.03456158125810981,0.5767195767195767,-0.12726506666734466,-0.015333239579199897
TXN,201,-0.40720721404839433,-0.38576326289345353,0.35323383084577115,-1.4936936817083664,-0.014754072972922139
AVGO,414,-0.0006426329348739324,0.12123609714148732,0.5990338164251208,0.24607857627382487,-0.013642759995589239
ACN,281,-0.07875658935997444,-0.05675291241657561,0.5836298932384342,1.214100828483959,-0.008119306746453498
NOW,345,0.18818837752443426,0.23546409346744832,0.6057971014492753,2.235304291967119,-0.005467549937071047
SNOW,342,-0.30281112691143003,-0.319148910639157,0.40350877192982454,-1.1819479020105093,-0.026709866073984415
JPM,462,-0.1790075620771969,-0.23093503901494794,0.645021645021645,0.9485285815556663,-0.011646526070999714
GS,351,0.024036076231511435,0.021326173826173828,0.6125356125356125,1.3124072825569713,-0.010041062375245775
BAC,180,-0.017275213233141504,0.07769375598012285,0.5666666666666667,-0.0910366284133016,-0.006490484367216593
C,362,0.025710366836778565,0.009204224348272843,0.6270718232044199,1.375250397170401,-0.01130266026418896
WFC,240,-0.244110085263739,-0.2484348686609142,0.49583333333333335,0.09022008051738704,-0.00971521379469259
MS,235,-0.12062883783878924,-0.10526875456554502,0.5531914893617021,1.5204012766563406,-0.004883526178156997
BLK,87,0.13246580581494072,0.2613362980243493,0.5402298850574713,0.21831627685960683,-0.00376737053346962
V,149,0.08174783940957227,0.018879013241429345,0.610738255033557,-1.1264295721219773,-0.013867452978391858
MA,92,0.33917930330569535,0.3349259436215958,0.8478260869565217,1.5769669873907666,-0.0048901987977855235
PYPL,275,-0.12879691601851673,-0.12510083379013878,0.4727272727272727,0.5986336207194103,-0.006620819465521475
AXP,267,-0.05141967889999437,-0.027158076307656615,0.602996254681648,0.5805271179204852,-0.012650199663508173
COF,246,0.0044672342884348355,0.05587286361172295,0.4878048780487805,0.6230731257155495,-0.007457903811420928
USB,90,-0.21780142976414194,-0.16931308391982547,0.34444444444444444,-3.0987228766649473,-0.010491064548386575
PNC,84,-0.3027266950893723,-0.3470284499341906,0.2619047619047619,-3.711287145211989,-0.011843982295892248
SCHW,261,-0.05497063705616625,-0.087994816449673,0.5440613026819924,0.6620433828170755,-0.005569831668234677
PFE,206,0.024773973183757445,0.04243085655846006,0.33980582524271846,-0.5664601253538968,-0.011809924803238945
JNJ,138,0.04008480000375898,-0.03368806065905765,0.5144927536231884,-0.40422177837875944,-0.012546811101888879
MRK,249,-0.22071815607802847,-0.29353439564710454,0.46184738955823296,0.14922532273864517,-0.015581692257331355
ABBV,172,-0.14997171125806072,-0.011251748136303925,0.46511627906976744,0.339429168981011,-0.008675484858610723
AMGN,169,-0.11052868052771155,-0.11799512704490082,0.3905325443786982,-0.8612631507455955,-0.01175871552716337
GILD,263,-0.07868988672813912,-0.07967969539530796,0.4790874524714829,-0.5805353285072744,-0.00979639650657666
BIIB,394,-0.15165851826723328,-0.1759437263856877,0.5786802030456852,0.2707476676878636,-0.019837641081635594
REGN,340,0.1055544514812954,0.11487235539896287,0.5852941176470589,0.8987172285098439,-0.016087802064926746
VRTX,220,-0.19898029645287102,-0.1895302119315012,0.38181818181818183,0.1999606282492935,-0.010517932843869813
BMY,261,-0.10666236194648934,-0.1833478445744832,0.4329501915708812,-1.3373718038183016,-0.022765666650199974
LLY,319,-0.30717268709264145,-0.3493493819128172,0.4012539184952978,-1.4153581445491756,-0.031045713219992558
UNH,267,-0.10678980658394861,-0.2054744861482904,0.3895131086142322,-0.4628532737937253,-0.017153440371617805
CVS,247,-0.19705276355037243,-0.305865508047793,0.38461538461538464,-1.6067032903055702,-0.016218235812450577
CI,188,-0.19602101783646683,-0.2535835739840746,0.324468085106383,-1.199173165680686,-0.009136091617080322
